category_id	category_name	parent_category_id	sort_order	is_active	category_url	include_in_menu
353	"Liquifit Fittings"	222	15	1	/fluid-connectors/pneumatic-and-brass-fittings/liquifit-fittings.html	1
450	"Garden Hose Fittings"	222	16	1	/fluid-connectors/pneumatic-and-brass-fittings/garden-hose-fittings.html	1
238	"Ball Valves"	41	7	1	/fluid-connectors/ball-valves.html	1
239	"Carbon Steel Ball Valve"	238	1	1	/fluid-connectors/ball-valves/carbon-steel-ball-valve.html	1
240	"Stainless Steel Ball Valve"	238	2	1	/fluid-connectors/ball-valves/stainless-steel-ball-valve.html	1
241	"Brass Ball Valve"	238	3	1	/fluid-connectors/ball-valves/brass-ball-valve.html	1
242	"Swivel Joints"	41	8	1	/fluid-connectors/swivel-joints.html	1
327	"Fluid Connector Accessories"	41	9	1	/fluid-connectors/fluid-connector-accessories.html	1
446	Transair	41	6	1	/fluid-connectors/transair.html	1
447	"Transair Piping"	446	1	1	/fluid-connectors/transair/transair-piping.html	1
448	"Transair Fittings"	446	2	1	/fluid-connectors/transair/transair-fittings.html	1
80	Pneumatic	40	3	1	/pneumatic.html	1
55	"Air Preperation and Dryers"	80	1	1	/pneumatic/air-preperation-and-dryers.html	1
70	"Inline Directional Control Valves"	80	2	1	/pneumatic/inline-directional-control-valves.html	1
81	Hydraulic	40	5	1	/hydraulic.html	1
95	Manifold	81	2	1	/hydraulic/manifold.html	1
83	"Cover Plate"	95	8	1	/hydraulic/manifold/cover-plate.html	1
84	"Valve Adaptor"	95	2	1	/hydraulic/manifold/valve-adaptor.html	1
85	Subplate	95	7	1	/hydraulic/manifold/subplate.html	1
86	"Tapping Plate"	95	6	1	/hydraulic/manifold/tapping-plate.html	1
87	"Header Junction"	95	5	1	/hydraulic/manifold/header-junction.html	1
88	"Din Valve"	95	4	1	/hydraulic/manifold/din-valve.html	1
97	"Mounting Flange"	95	3	1	/hydraulic/manifold/mounting-flange.html	1
398	Manifold	95	1	1	/hydraulic/manifold/manifold.html	1
102	"Industrial Tools and Workholding"	81	1	1	/hydraulic/industrial-tools-and-workholding.html	1
103	"Industrial Tools"	102	1	1	/hydraulic/industrial-tools-and-workholding/industrial-tools.html	1
99	"Hydraulic Pump"	103	2	1	/hydraulic/industrial-tools-and-workholding/industrial-tools/hydraulic-pump.html	1
513	"Manual Pumps"	99	1	1	/hydraulic/industrial-tools-and-workholding/industrial-tools/hydraulic-pump/manual-pumps.html	1
514	"Cordless Pumps"	99	2	1	/hydraulic/industrial-tools-and-workholding/industrial-tools/hydraulic-pump/cordless-pumps.html	1
